as_of,e_k10,e_k15,e_k20,e_k25,e_k50,oracle_e,oracle_k,k50_minus_k10,S1_disp_5d,S2_disp_20d,S3_idx_mom,S4_idx_vol,S5_xs_mom
2026-01-28,-0.0223500168650334,-0.004915078282751201,-0.008802330746527101,-0.009230767739644,-0.011264119194681801,-0.004915078282751201,15,0.011085897670351598,0.0763546207298037,0.17707818531133204,0.15753056779284091,0.010981621400643451,0.6260933509599672
2026-02-04,0.0065534805876813,0.002074040959668,-0.0020749559924613,0.0010576838929816997,0.0037688117892926,0.0065534805876813,10,-0.0027846687983887,0.0591803335124842,0.13804089851953713,0.053837534644083807,0.016277077160825184,0.3178058549998697
2026-02-11,0.0161719885757501,0.015377906756013304,0.012735555931631504,0.025722339371133898,0.019757621469152005,0.025722339371133898,25,0.0035856328934019063,0.04524835723886933,0.12619339895045562,0.011924843610551017,0.015660404465589712,0.2754160574962265
2026-02-26,-0.0375215594725386,-0.0189758011581703,-0.0247444676349818,-0.0118049436329908,-0.006897788114300803,-0.006897788114300803,50,0.030623771358237798,0.06328371665987935,0.11028046547866312,0.026031182071514003,0.01651911026159323,0.4736877816267185
2026-03-05,-0.0164194588158474,-0.0282715779394061,-0.0240941839148706,-0.0203492324379312,-0.0177931298705356,-0.0164194588158474,10,-0.0013736710546881983,0.06232775009451003,0.10987264621622353,-0.033948079585507274,0.018504470847909828,0.694751368121106
2026-03-12,0.032645774218013804,0.008728460402647402,0.014199196415675998,0.005217699646586901,-0.0015118031079714017,0.032645774218013804,10,-0.034157577325985206,0.06461823946379427,0.11741501295002751,0.007279742746675755,0.014531415412475457,0.5335640852781984
2026-03-19,0.1217557544784019,0.0695556916638219,0.0820007405984525,0.039757902541953896,0.0311878133082341,0.1217557544784019,10,-0.0905679411701678,0.05867364143409003,0.12062840531880943,-0.05389517009213873,0.015612751806744868,0.4116105417773938
2026-03-26,-0.0027032600313917,0.00020768639454700043,0.0007029233085567004,-0.0137715904396323,-0.020397767992385598,0.0007029233085567004,20,-0.017694507960993897,0.055438078368071846,0.13024169883653278,-0.10693734971747826,0.018556619287442438,0.5585143792663732
2026-04-02,0.0063574738751647,0.0122835719471074,0.009441965072718501,0.028574075376359302,0.0265010521407922,0.028574075376359302,25,0.0201435782656275,0.06231171019143978,0.11724318065510479,-0.08471097778587067,0.017468731232142407,0.37009235071870095
2026-04-10,0.0401321878063409,0.065045098338234,0.0588475291052587,0.043048182777923105,0.036688713099953904,0.065045098338234,15,-0.0034434747063869925,0.05922385950086762,0.09667786624462461,-0.04666646410203901,0.020929032490093626,0.3490670956997962
